FAILED:
 - ASTResolving.java v1 -> v2 orig 114: expected 112, got 111
 - BaseTypes.java v4 -> v5 orig 13: expected 18, got 13
 - BaseTypes.java v5 -> v6 orig 4: expected 9, got 4
 - BaseTypes.java v5 -> v6 orig 5: expected 10, got 5
 - BaseTypes.java v5 -> v6 orig 6: expected 11, got 6
 - BaseTypes.java v5 -> v6 orig 7: expected 12, got None
 - BaseTypes.java v5 -> v6 orig 8: expected 13, got 8
 - BaseTypes.java v5 -> v6 orig 9: expected 14, got 9
 - BaseTypes.java v5 -> v6 orig 10: expected 15, got 10
 - BaseTypes.java v5 -> v6 orig 11: expected 16, got 11
 - BaseTypes.java v5 -> v6 orig 12: expected 17, got 12
 - BaseTypes.java v5 -> v6 orig 13: expected 18, got 13
 - BaseTypes.java v6 -> v7 orig 4: expected 9, got 4
 - BaseTypes.java v6 -> v7 orig 5: expected 10, got 5
 - BaseTypes.java v6 -> v7 orig 6: expected 11, got 6
 - BaseTypes.java v6 -> v7 orig 7: expected 12, got None
 - BaseTypes.java v6 -> v7 orig 8: expected 13, got 8
 - BaseTypes.java v6 -> v7 orig 9: expected 14, got 9
 - BaseTypes.java v6 -> v7 orig 10: expected 15, got 10
 - BaseTypes.java v6 -> v7 orig 11: expected 16, got 11
 - BaseTypes.java v6 -> v7 orig 12: expected 17, got 12
 - BaseTypes.java v6 -> v7 orig 13: expected 18, got 13
 - BuildPathsPropertyPage.java v1 -> v2 orig 54: expected 61, got 59
 - BuildPathsPropertyPage.java v1 -> v2 orig 56: expected 59, got 61
 - CPListLabelProvider.java v1 -> v2 orig 145: expected 170, got None
 - CPListLabelProvider.java v1 -> v2 orig 146: expected 171, got 137
 - CompilationUnitDocumentProvider.java v1 -> v2 orig 199: expected 192, got 188
 - CompilationUnitDocumentProvider.java v1 -> v2 orig 206: expected None, got 199
 - DeltaProcessor.java v1 -> v2 orig 2019: expected None, got 2083
 - DeltaProcessor.java v1 -> v2 orig 2028: expected None, got 2089
 - DialogCustomize.java v1 -> v2 orig 869: expected 1091, got 1285
 - DialogCustomize.java v1 -> v2 orig 870: expected 1092, got 1286
 - DialogCustomize.java v1 -> v2 orig 872: expected 1094, got 1288
 - DialogCustomize.java v1 -> v2 orig 873: expected 1095, got 1293
 - DialogCustomize.java v1 -> v2 orig 874: expected 1096, got 1291
 - DialogCustomize.java v1 -> v2 orig 876: expected 1098, got 1290
 - DialogCustomize.java v1 -> v2 orig 877: expected 1099, got 1295
 - DialogCustomize.java v1 -> v2 orig 878: expected 1100, got 1296
 - DoubleCache.java v1 -> v2 orig 107: expected 102, got None
 - DoubleCache.java v1 -> v2 orig 109: expected 102, got None
 - DoubleCache.java v1 -> v2 orig 110: expected 102, got None
 - DoubleCache.java v1 -> v2 orig 111: expected 102, got None
 - DoubleCache.java v1 -> v2 orig 112: expected 102, got None
 - DoubleCache.java v1 -> v2 orig 113: expected 103, got None
 - DoubleCache.java v1 -> v2 orig 114: expected 103, got None
 - DoubleCache.java v1 -> v2 orig 115: expected 103, got None
 - DoubleCache.java v1 -> v2 orig 117: expected 103, got None
 - DoubleCache.java v1 -> v2 orig 118: expected 103, got None
 - GC2.java v1 -> v2 orig 1739: expected 1749, got None
 - GC2.java v1 -> v2 orig 1740: expected 1750, got None
 - GC2.java v1 -> v2 orig 1741: expected 1751, got None
 - GC2.java v1 -> v2 orig 1747: expected None, got 1755
 - JavaModelManager.java v1 -> v2 orig 433: expected 433, got None
 - PluginSearchScope.java v1 -> v2 orig 69: expected 63, got None
 - PluginSearchScope.java v1 -> v2 orig 73: expected 65, got None
 - PluginSearchScope.java v1 -> v2 orig 74: expected 65, got None
 - PluginSearchScope.java v1 -> v2 orig 76: expected 66, got 71
 - RefreshLocal.java v1 -> v2 orig 92: expected 64, got 65
 - RefreshLocal.java v1 -> v2 orig 94: expected 67, got 68
 - ResourceCompareInput.java v1 -> v2 orig 77: expected 134, got None
 - ResourceCompareInput.java v1 -> v2 orig 78: expected 135, got None
 - ResourceCompareInput.java v1 -> v2 orig 79: expected 136, got None
 - ResourceCompareInput.java v1 -> v2 orig 81: expected 138, got None
 - ResourceCompareInput.java v1 -> v2 orig 82: expected 139, got None
 - ResourceCompareInput.java v1 -> v2 orig 83: expected 149, got None
 - ResourceCompareInput.java v1 -> v2 orig 85: expected 142, got None
 - ResourceCompareInput.java v1 -> v2 orig 86: expected 143, got None
 - ResourceCompareInput.java v1 -> v2 orig 87: expected 144, got 90
 - ResourceCompareInput.java v1 -> v2 orig 90: expected 145, got None
 - ResourceCompareInput.java v1 -> v2 orig 91: expected 146, got None
 - ResourceCompareInput.java v1 -> v2 orig 92: expected 147, got None
 - ResourceCompareInput.java v1 -> v2 orig 93: expected 148, got None
 - ResourceInfo.java v1 -> v2 orig 294: expected None, got 292
 - SaveManager.java v1 -> v2 orig 217: expected None, got 162
 - TabFolder.java v1 -> v2 orig 242: expected None, got 240
 - TabFolder.java v1 -> v2 orig 246: expected 244, got None
 - TabFolder.java v1 -> v2 orig 248: expected 242, got None
 - TabFolder.java v1 -> v2 orig 250: expected None, got 246
 - TabFolder.java v1 -> v2 orig 251: expected 246, got None
 - asdf.java v1 -> v2 orig 7: expected None, got 7

Summary: 5/23 cases passed; 18 failed.
